,Start,End
0,2019-02-23 12:40:29.143440,2019-02-23 12:40:29.608276
1,2019-02-23 12:40:29.879447,2019-02-23 12:40:32.327595
2,2019-02-23 12:40:32.455458,2019-02-23 12:40:41.079182
3,2019-02-23 12:40:41.143327,2019-02-23 12:40:41.351538
4,2019-02-23 12:40:41.416409,2019-02-23 12:40:41.735744
5,2019-02-23 12:40:43.335366,2019-02-23 12:40:54.791582
6,2019-02-23 12:40:55.064059,2019-02-23 12:40:55.192436
7,2019-02-23 12:40:55.719579,2019-02-23 12:41:06.231349
8,2019-02-23 12:41:06.631824,2019-02-23 12:41:06.951932
9,2019-02-23 12:41:07.687087,2019-02-23 12:41:09.583414
10,2019-02-23 12:41:11.159430,2019-02-23 12:41:25.079436
11,2019-02-23 12:41:25.208216,2019-02-23 12:41:31.319185
12,2019-02-23 12:41:31.383297,2019-02-23 12:42:20.615185
13,2019-02-23 12:42:20.951408,2019-02-23 12:42:21.079316
14,2019-02-23 12:42:21.479390,2019-02-23 12:42:22.807157
15,2019-02-23 12:42:23.079946,2019-02-23 12:42:27.640488
